light_volt,loop_time
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.4020000100135803,102
0.39899998903274536,102
0.39899998903274536,102
0.4050000011920929,102
0.41100001335144043,102
0.4020000100135803,101
0.3959999978542328,102
0.3869999945163727,102
0.3840000033378601,101
0.375,102
0.375,101
0.3720000088214874,101
0.36900001764297485,101
0.3659999966621399,102
0.3659999966621399,102
0.3720000088214874,102
0.38100001215934753,101
0.39000001549720764,102
0.39000001549720764,102
0.3930000066757202,102
0.38100001215934753,102
0.38100001215934753,102
0.3869999945163727,102
0.39000001549720764,101
0.39899998903274536,102
0.4020000100135803,102
0.4050000011920929,102
0.40799999237060547,102
0.40799999237060547,102
0.41100001335144043,102
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.414000004529953,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.41100001335144043,101
0.414000004529953,101
0.41100001335144043,101
2.7750000953674316,101
2.8919999599456787,101
2.9100000858306885,101
2.924999952316284,101
2.9130001068115234,101
2.8949999809265137,101
2.9070000648498535,101
2.924999952316284,101
1.0679999589920044,101
0.6539999842643738,102
0.5460000038146973,101
0.5009999871253967,101
0.47699999809265137,101
0.4620000123977661,101
2.8889999389648438,101
2.924999952316284,102
2.9040000438690186,101
2.9070000648498535,102
2.921999931335449,101
2.921999931335449,101
2.8980000019073486,101
2.9100000858306885,102
1.1490000486373901,101
0.675000011920929,101
0.5550000071525574,101
0.5040000081062317,101
0.47699999809265137,102
0.4620000123977661,101
0.453000009059906,101
2.9100000858306885,101
2.927999973297119,101
2.9130001068115234,101
2.8980000019073486,101
2.9189999103546143,102
1.055999994277954,101
0.6539999842643738,101
0.5460000038146973,101
0.5009999871253967,101
0.47699999809265137,101
0.4620000123977661,101
0.453000009059906,101
0.44699999690055847,101
0.4410000145435333,101
0.43799999356269836,101
0.4350000023841858,102
0.4320000112056732,101
0.42899999022483826,101
0.42899999022483826,102
0.4259999990463257,102
0.4259999990463257,102
0.4259999990463257,102
0.4230000078678131,102
0.4230000078678131,101
0.4230000078678131,101
0.4230000078678131,101
0.42000001668930054,101
0.42000001668930054,102
0.42000001668930054,102
0.42000001668930054,102
2.9040000438690186,102
